1000 999
363 361 38
361 360 90
361 359 83
359 358 57
359 357 63
357 356 10
357 355 31
355 354 59
355 353 10
353 352 93
353 351 55
351 350 82
351 349 28
349 348 86
349 347 19
347 346 88
347 345 73
345 344 12
345 343 22
343 342 92
343 341 79
341 340 64
341 339 79
339 338 21
339 337 60
337 336 100
337 335 29
335 334 97
335 333 50
333 332 51
333 331 64
331 330 66
331 329 86
329 328 3
329 327 100
327 326 25
327 325 11
325 324 28
325 323 69
323 322 88
323 321 91
321 320 21
321 319 97
319 318 5
319 317 7
317 316 6
317 315 2
315 314 62
315 313 16
313 312 32
313 311 61
311 310 68
311 309 59
309 308 37
309 307 54
307 306 35
307 305 25
305 304 76
305 303 52
303 302 51
303 301 100
301 300 82
301 299 30
299 298 4
299 297 55
297 296 94
297 295 9
295 294 59
295 293 91
293 292 47
293 291 99
291 290 22
291 289 41
289 288 26
289 287 89
287 286 57
287 285 12
285 284 32
285 283 8
283 282 31
283 281 9
281 280 91
281 279 100
279 278 73
279 277 4
277 276 29
277 275 28
275 274 41
275 273 96
273 272 30
273 271 69
271 270 38
271 269 1
269 268 66
269 267 10
267 266 41
267 265 84
265 264 50
265 263 2
263 262 44
263 261 89
261 260 91
261 259 23
259 258 80
259 257 1
257 256 22
257 255 98
255 254 25
255 253 23
253 252 24
253 251 20
251 250 91
251 249 40
249 248 53
249 247 42
247 246 37
247 245 61
245 244 15
245 243 27
243 242 24
243 241 62
241 240 73
241 239 22
239 238 80
239 237 90
237 236 52
237 235 20
235 234 47
235 233 84
233 232 90
233 231 36
231 230 69
231 229 42
229 228 42
229 227 92
227 226 23
227 225 72
225 224 96
225 223 87
223 222 75
223 221 74
221 220 80
221 219 14
219 218 80
219 217 96
217 216 59
217 215 13
215 214 96
215 213 93
213 212 86
213 211 88
211 210 37
211 209 14
209 208 4
209 207 63
207 206 1
207 205 13
205 204 17
205 203 15
203 202 34
203 201 22
201 200 44
201 199 28
199 198 60
199 197 72
197 196 80
197 195 87
195 194 12
195 193 15
193 192 24
193 191 27
191 190 72
191 189 46
189 188 75
189 187 52
187 186 65
187 185 75
185 184 30
185 183 41
183 182 9
183 181 25
181 180 69
181 179 53
179 178 17
179 177 42
177 176 1
177 175 6
175 174 47
175 173 22
173 172 53
173 171 97
171 170 57
171 169 21
169 168 15
169 167 80
167 166 32
167 165 89
165 164 91
165 163 52
163 162 78
163 161 87
161 160 68
161 159 53
159 158 22
159 157 92
157 156 20
157 155 69
155 154 9
155 153 96
153 152 31
153 151 89
151 150 38
151 149 85
149 148 4
149 147 13
147 146 14
147 145 49
145 144 28
145 143 78
143 142 38
143 141 58
141 140 10
141 139 27
139 138 55
139 137 84
137 136 80
137 135 3
135 134 16
135 133 13
133 132 51
133 131 60
131 130 17
131 129 47
129 128 95
129 127 15
127 126 55
127 125 79
125 124 87
125 123 48
123 122 100
123 121 24
121 120 71
121 119 63
119 118 43
119 117 66
117 116 20
117 115 51
115 114 59
115 113 6
113 112 9
113 111 98
111 110 60
111 109 18
109 108 93
109 107 34
107 106 83
107 105 86
105 104 16
105 103 24
103 102 32
103 101 8
101 100 79
101 99 58
99 98 87
99 97 68
97 96 85
97 95 82
95 94 63
95 93 39
93 92 34
93 91 21
91 90 21
91 89 11
89 88 80
89 87 55
87 86 43
87 85 23
85 84 89
85 83 30
83 82 54
83 81 25
81 80 65
81 79 63
79 78 64
79 77 7
77 76 3
77 75 54
75 74 35
75 73 70
73 72 74
73 71 34
71 70 6
71 69 47
69 68 48
69 67 8
67 66 68
67 65 71
65 64 96
65 63 31
63 62 10
63 61 31
61 60 56
61 59 9
59 58 77
59 57 19
57 56 25
57 55 87
55 54 25
55 53 10
53 52 62
53 51 5
51 50 48
51 49 52
49 48 56
49 47 57
47 46 54
47 45 18
45 44 40
45 43 73
43 42 24
43 41 79
41 40 86
41 39 61
39 38 1
39 37 6
37 36 100
37 35 73
35 34 55
35 33 65
33 32 96
33 31 74
31 30 57
31 29 74
29 28 8
29 27 85
27 26 5
27 25 13
25 24 41
25 23 47
23 22 83
23 21 74
21 20 38
21 19 55
19 18 59
19 17 14
17 16 33
17 15 41
15 14 81
15 13 37
13 12 54
13 11 7
11 10 71
11 9 92
9 8 63
9 7 86
7 6 40
7 5 8
5 4 23
5 3 22
3 2 22
